seed,solucion,f1_promedio_ponderado_km,f2_distancia_maxima_km,f3_numero_centros,indices_centros,centros
0,4,32.56141237266288,218.757001,3,"[11, 32, 34]","['González', 'Río Bravo', 'San Fernando']"
0,33,39.789813631059396,197.327862,3,"[11, 31, 34]","['González', 'Reynosa', 'San Fernando']"
1,71,57.082257357436454,190.624696,3,"[7, 14, 39]","['Casas', 'Gustavo Díaz Ordaz', 'Valle Hermoso']"
1,2,57.53560466761939,176.097157,3,"[14, 36, 39]","['Gustavo Díaz Ordaz', 'Soto la Marina', 'Valle Hermoso']"
2,87,57.67453030661876,186.503869,3,"[14, 39, 42]","['Gustavo Díaz Ordaz', 'Valle Hermoso', 'Xicoténcatl']"
2,52,57.96026278850363,171.210441,3,"[14, 18, 39]","['Gustavo Díaz Ordaz', 'Llera', 'Valle Hermoso']"
6,7,58.76168770819823,195.281391,3,"[10, 14, 39]","['Gómez Farías', 'Gustavo Díaz Ordaz', 'Valle Hermoso']"
0,1,59.77113611663137,166.394431,3,"[11, 14, 34]","['González', 'Gustavo Díaz Ordaz', 'San Fernando']"
0,12,70.87439659669022,159.121441,3,"[6, 11, 34]","['Camargo', 'González', 'San Fernando']"
0,8,74.24941736268339,150.277393,3,"[6, 34, 42]","['Camargo', 'San Fernando', 'Xicoténcatl']"
8,28,74.87910185082778,150.277393,3,"[6, 20, 34]","['Camargo', 'El Mante', 'San Fernando']"
0,59,81.97187386326387,146.150389,3,"[6, 22, 42]","['Camargo', 'Méndez', 'Xicoténcatl']"
15,48,82.8264985407979,146.150389,3,"[6, 20, 22]","['Camargo', 'El Mante', 'Méndez']"
1,52,84.47657755858837,146.150389,3,"[6, 9, 42]","['Camargo', 'Cruillas', 'Xicoténcatl']"
8,68,84.95285150276226,146.150389,3,"[6, 9, 20]","['Camargo', 'Cruillas', 'El Mante']"
0,69,88.64983778054405,141.396971,3,"[22, 24, 42]","['Méndez', 'Miguel Alemán', 'Xicoténcatl']"
0,72,89.5044624580781,138.045942,3,"[20, 22, 24]","['El Mante', 'Méndez', 'Miguel Alemán']"
21,80,89.55298255870115,141.481494,3,"[10, 22, 24]","['Gómez Farías', 'Méndez', 'Miguel Alemán']"
9,13,91.08426081306922,141.396971,3,"[22, 23, 42]","['Méndez', 'Mier', 'Xicoténcatl']"
12,55,91.93888549060327,138.045942,3,"[20, 22, 23]","['El Mante', 'Méndez', 'Mier']"
7,6,93.00190496237765,141.396971,3,"[13, 22, 42]","['Guerrero', 'Méndez', 'Xicoténcatl']"
11,97,93.85652963991171,138.045942,3,"[13, 20, 22]","['Guerrero', 'El Mante', 'Méndez']"
0,5,20.487328985594157,218.757001,4,"[11, 21, 32, 34]","['González', 'Matamoros', 'Río Bravo', 'San Fernando']"
0,2,21.42255192661401,197.327862,4,"[11, 21, 31, 34]","['González', 'Matamoros', 'Reynosa', 'San Fernando']"
0,13,31.4838538804033,166.394431,4,"[11, 14, 21, 34]","['González', 'Gustavo Díaz Ordaz', 'Matamoros', 'San Fernando']"
0,14,31.583347927618853,159.121441,4,"[6, 11, 32, 34]","['Camargo', 'González', 'Río Bravo', 'San Fernando']"
0,15,34.95836869361204,150.277393,4,"[6, 32, 34, 42]","['Camargo', 'Río Bravo', 'San Fernando', 'Xicoténcatl']"
8,27,35.58805318175641,150.277393,4,"[6, 20, 32, 34]","['Camargo', 'El Mante', 'Río Bravo', 'San Fernando']"
1,56,40.70456625103741,146.150389,4,"[6, 9, 32, 42]","['Camargo', 'Cruillas', 'Río Bravo', 'Xicoténcatl']"
4,63,40.948151237884005,141.396971,4,"[9, 24, 32, 42]","['Cruillas', 'Miguel Alemán', 'Río Bravo', 'Xicoténcatl']"
