p,seed,numero_soluciones_no_dominadas
3,0,11
3,1,11
3,2,11
3,3,11
3,4,11
3,5,11
3,6,11
3,7,11
3,8,11
3,9,11
3,10,11
3,11,11
3,12,11
3,13,11
3,14,11
3,15,11
3,16,11
3,17,11
3,18,11
3,19,11
3,20,11
3,21,11
3,22,11
3,23,11
3,24,11
3,25,11
3,26,11
3,27,11
3,28,11
3,29,11
5,0,10
5,1,10
5,2,10
5,3,10
5,4,10
5,5,10
5,6,10
5,7,10
5,8,10
5,9,10
5,10,10
5,11,10
5,12,10
5,13,10
5,14,10
5,15,10
5,16,10
5,17,10
5,18,10
5,19,10
5,20,10
5,21,10
5,22,10
5,23,10
5,24,10
5,25,10
5,26,10
5,27,10
5,28,10
5,29,10
7,0,12
7,1,12
7,2,12
7,3,12
7,4,12
7,5,11
7,6,12
7,7,13
7,8,12
7,9,11
7,10,13
7,11,13
7,12,12
7,13,12
7,14,11
7,15,12
7,16,13
7,17,11
7,18,11
7,19,12
7,20,12
7,21,13
7,22,12
7,23,12
7,24,13
7,25,11
7,26,12
7,27,11
7,28,11
7,29,13
10,0,14
10,1,15
10,2,18
10,3,19
10,4,14
10,5,15
10,6,16
10,7,19
10,8,18
10,9,21
10,10,17
10,11,17
10,12,16
10,13,17
10,14,16
10,15,19
10,16,18
10,17,17
10,18,16
10,19,17
10,20,16
10,21,15
10,22,15
10,23,16
10,24,17
10,25,17
10,26,16
10,27,17
10,28,16
10,29,18
