p,seed,fitness_km,indices_centros,centros
3,0,57.747378470967156,"[26, 21, 34]","['Nuevo Laredo', 'Matamoros', 'San Fernando']"
3,1,65.75527907195699,"[21, 19, 32]","['Matamoros', 'Mainero', 'Río Bravo']"
3,2,92.50150488940515,"[10, 4, 34]","['Gómez Farías', 'Burgos', 'San Fernando']"
3,3,142.9024157127704,"[3, 7, 33]","['Antiguo Morelos', 'Casas', 'San Carlos']"
3,4,57.894639645993315,"[29, 37, 39]","['Padilla', 'Tampico', 'Valle Hermoso']"
3,5,144.6541191379856,"[33, 27, 0]","['San Carlos', 'Nuevo Morelos', 'Abasolo']"
3,6,93.43969257667099,"[18, 42, 22]","['Llera', 'Xicoténcatl', 'Méndez']"
3,7,179.88096898880812,"[38, 26, 29]","['Tula', 'Nuevo Laredo', 'Padilla']"
3,8,130.46367386259618,"[13, 29, 10]","['Guerrero', 'Padilla', 'Gómez Farías']"
3,9,156.53393858721057,"[36, 41, 17]","['Soto la Marina', 'Villagrán', 'Jiménez']"
3,10,66.03571098944546,"[11, 40, 31]","['González', 'Victoria', 'Reynosa']"
3,11,101.94865358901102,"[5, 34, 41]","['Bustamante', 'San Fernando', 'Villagrán']"
3,12,185.88880646757352,"[10, 25, 41]","['Gómez Farías', 'Miquihuana', 'Villagrán']"
3,13,132.02979983203636,"[41, 36, 35]","['Villagrán', 'Soto la Marina', 'San Nicolás']"
3,14,77.92540010936024,"[28, 6, 34]","['Ocampo', 'Camargo', 'San Fernando']"
3,15,187.83294277980022,"[29, 38, 30]","['Padilla', 'Tula', 'Palmillas']"
3,16,103.40776977734734,"[22, 35, 23]","['Méndez', 'San Nicolás', 'Mier']"
3,17,120.28806309745949,"[35, 4, 30]","['San Nicolás', 'Burgos', 'Palmillas']"
3,18,113.2392849911467,"[36, 16, 9]","['Soto la Marina', 'Jaumave', 'Cruillas']"
3,19,113.28147361854225,"[17, 24, 15]","['Jiménez', 'Miguel Alemán', 'Hidalgo']"
3,20,187.26094143587932,"[36, 42, 11]","['Soto la Marina', 'Xicoténcatl', 'González']"
3,21,64.39655550430842,"[16, 12, 32]","['Jaumave', 'Güémez', 'Río Bravo']"
3,22,74.39916776648391,"[28, 15, 31]","['Ocampo', 'Hidalgo', 'Reynosa']"
3,23,178.04867782530084,"[18, 1, 29]","['Llera', 'Aldama', 'Padilla']"
3,24,72.34796338024755,"[15, 32, 13]","['Hidalgo', 'Río Bravo', 'Guerrero']"
3,25,102.86524478586664,"[6, 36, 20]","['Camargo', 'Soto la Marina', 'El Mante']"
3,26,110.45697618218426,"[20, 23, 35]","['El Mante', 'Mier', 'San Nicolás']"
3,27,115.86756391045527,"[9, 29, 0]","['Cruillas', 'Padilla', 'Abasolo']"
3,28,115.47328753187057,"[27, 35, 9]","['Nuevo Morelos', 'San Nicolás', 'Cruillas']"
3,29,260.5787145304268,"[25, 38, 2]","['Miquihuana', 'Tula', 'Altamira']"
5,0,117.89525322078096,"[25, 20, 11, 13, 33]","['Miquihuana', 'El Mante', 'González', 'Guerrero', 'San Carlos']"
5,1,57.017635812074296,"[20, 1, 30, 39, 18]","['El Mante', 'Aldama', 'Palmillas', 'Valle Hermoso', 'Llera']"
5,2,43.13556858491555,"[12, 4, 32, 10, 17]","['Güémez', 'Burgos', 'Río Bravo', 'Gómez Farías', 'Jiménez']"
5,3,45.82919942821285,"[7, 31, 3, 9, 42]","['Casas', 'Reynosa', 'Antiguo Morelos', 'Cruillas', 'Xicoténcatl']"
5,4,64.1635516688842,"[37, 36, 28, 21, 40]","['Tampico', 'Soto la Marina', 'Ocampo', 'Matamoros', 'Victoria']"
5,5,48.43072830767273,"[33, 32, 26, 20, 0]","['San Carlos', 'Río Bravo', 'Nuevo Laredo', 'El Mante', 'Abasolo']"
5,6,48.50618166456589,"[14, 17, 42, 40, 21]","['Gustavo Díaz Ordaz', 'Jiménez', 'Xicoténcatl', 'Victoria', 'Matamoros']"
5,7,114.51706113107602,"[25, 28, 36, 24, 37]","['Miquihuana', 'Ocampo', 'Soto la Marina', 'Miguel Alemán', 'Tampico']"
5,8,103.02126434727793,"[28, 7, 41, 9, 13]","['Ocampo', 'Casas', 'Villagrán', 'Cruillas', 'Guerrero']"
5,9,42.167338540163655,"[16, 34, 4, 39, 12]","['Jaumave', 'San Fernando', 'Burgos', 'Valle Hermoso', 'Güémez']"
5,10,91.2307223009046,"[8, 38, 30, 10, 34]","['Ciudad Madero', 'Tula', 'Palmillas', 'Gómez Farías', 'San Fernando']"
5,11,49.27328378359179,"[39, 25, 5, 32, 20]","['Valle Hermoso', 'Miquihuana', 'Bustamante', 'Río Bravo', 'El Mante']"
5,12,56.8400843827404,"[39, 10, 41, 2, 23]","['Valle Hermoso', 'Gómez Farías', 'Villagrán', 'Altamira', 'Mier']"
5,13,37.77834150273877,"[39, 33, 34, 35, 2]","['Valle Hermoso', 'San Carlos', 'San Fernando', 'San Nicolás', 'Altamira']"
5,14,145.15351485885333,"[3, 5, 26, 33, 15]","['Antiguo Morelos', 'Bustamante', 'Nuevo Laredo', 'San Carlos', 'Hidalgo']"
